game_id,name,boardgamedesigner,boardgameartist,yearpublished,minplayers,maxplayers,minage,playingtime,minplaytime,maxplaytime,boardgamepublisher,boardgamecategory,boardgamefamily,boardgamemechanic,AbstractGameRank_min,AbstractGameRank_min_date,AbstractGameRank_max,AbstractGameRank_max_date,first_date_in_ref,BoardGameRank_min,BoardGameRank_min_date,BoardGameRank_max,BoardGameRank_max_date,ChildrensGameRank_min,ChildrensGameRank_min_date,ChildrensGameRank_max,ChildrensGameRank_max_date,CustomizableRank_min,CustomizableRank_min_date,CustomizableRank_max,CustomizableRank_max_date,FamilyGameRank_min,FamilyGameRank_min_date,FamilyGameRank_max,FamilyGameRank_max_date,PartyGameRank_min,PartyGameRank_min_date,PartyGameRank_max,PartyGameRank_max_date,StrategyGameRank_min,StrategyGameRank_min_date,StrategyGameRank_max,StrategyGameRank_max_date,ThematicRank_min,ThematicRank_min_date,ThematicRank_max,ThematicRank_max_date,WarGameRank_min,WarGameRank_min_date,WarGameRank_max,WarGameRank_max_date,bgg_url
224517,Brass: Birmingham,"['Gavan Brown', 'Matt Tolman', 'Martin Wallace']","['Lina Cossette', 'David Forest', 'Damien Mammoliti']",2018,2,4,14,120,60,120,"['Roxley', 'Arclight Games', 'BoardM Factory', 'CMON Global Limited', 'Conclave Editora', 'CrowD Games', 'Dexker Games', 'Funforge', 'Gém Klub Kft.', 'Ghenos Games', 'Giant Roc', 'Lanlalen', 'Lord of Boards', 'Maldito Games', 'PHALANX', 'Rebel Sp. z o.o.', 'TLAMA games', 'White Goblin Games', '盒拍工作室 Hepa Studio']","['Economic', 'Industry / Manufacturing', 'Post-Napoleonic', 'Trains', 'Transportation']","['Cities: Birmingham (England)', 'Components: Map (Regional scale)', 'Components: Multi-Use Cards', 'Country: England', 'Crowdfunding: Kickstarter', 'Crowdfunding: Spieleschmiede', 'Digital Implementations: Steam', 'Digital Implementations: Tabletopia', 'Digital Implementations: VASSAL', 'Food & Drink: Beer', 'Game: Brass', 'History: Industrial Revolution', 'Misc: Watch It Played How To Videos', 'Occupation: Engineer', 'Organizations: The Game Artisans of Canada', 'Theme: Canals']","['Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Tags', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based', 'Variable Set-up']",,,,,2018-10-06,1,2023-02-25,161,2018-10-06,,,,,,,,,,,,,,,,,1,2022-05-21,59,2018-10-06,,,,,,,,,https://boardgamegeek.com/boardgame/224517
161936,Pandemic Legacy: Season 1,"['Rob Daviau', 'Matt Leacock']",['Chris Quilliams'],2015,2,4,13,60,60,60,"['Z-Man Games', 'Asterion Press', 'Devir', 'Filosofia Éditions', 'Gém Klub Kft.', 'Hobby Japan', 'Jolly Thinkers', 'Korea Boardgames Co., Ltd.', 'Lacerta', 'Lifestyle Boardgames Ltd', 'MINDOK', 'Ігромаг']","['Environmental', 'Medical']","['Components: Map (Global Scale)', 'Components: Multi-Use Cards', 'Game: Pandemic', 'Mechanism: Campaign Games', 'Mechanism: Legacy', 'Medical: Diseases', 'Misc: Limited Replayability', 'Misc: Made by Panda', 'Occupation: Dispatcher', 'Occupation: Medic / Doctor / Nurses', 'Occupation: Researcher / Scientist', 'Region: The World', 'Theme: Science', 'Versions & Editions: Legacy Versions of Non-Legacy Games']","['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Tags', 'Trading', 'Variable Player Powers']",,,,,2018-10-06,2,2018-10-06,3,2022-08-28,,,,,,,,,,,,,,,,,2,2018-10-06,3,2021-06-05,1,2023-02-25,2,2018-10-06,,,,,https://boardgamegeek.com/boardgame/161936
174430,Gloomhaven,['Isaac Childres'],"['Alexandr Elichev', 'Josh T. McDowell', 'Alvaro Nebot']",2017,1,4,14,120,60,120,"['Cephalofair Games', 'Albi', 'Albi Polska', 'Arclight Games', 'Feuerland Spiele', 'Galápagos Jogos', 'Games Warehouse', 'Gém Klub Kft.', 'Hobby World', 'Korea Boardgames Co., Ltd.', 'MYBG Co., Ltd.']","['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Category: Dungeon Crawler', 'Components: Miniatures', 'Components: Multi-Use Cards', 'Components: Standees', 'Creatures: Demons', 'Creatures: Dragons', 'Creatures: Monsters', 'Crowdfunding: Kickstarter', 'Digital Implementations: Steam', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Game: Gloomhaven', 'Mechanism: Campaign Games', 'Mechanism: Legacy', 'Misc: Forteller Audio Narration', 'Misc: Made by Panda', 'Players: Games with Solitaire Rules']","['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Modular Board', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Tags', 'Variable Player Powers']",,,,,2018-10-06,1,2018-10-06,3,2023-02-25,,,,,,,,,,,,,,,,,1,2018-10-06,3,2023-02-25,1,2018-10-06,2,2023-02-25,,,,,https://boardgamegeek.com/boardgame/174430
342942,Ark Nova,['Mathias Wigge'],"['Steffen Bieker', 'Loïc Billiau', 'Dennis Lohausen', 'Christof Tisch']",2021,1,4,14,150,90,150,"['Feuerland Spiele', 'Capstone Games', 'CMON Global Limited', 'Cranio Creations', 'Game Harbor', 'Gém Klub Kft.', 'Grok Games', 'IGAMES', 'Korea Boardgames Co., Ltd.', 'Lautapelit.fi', 'Ludofy Creative', 'Maldito Games', 'MINDOK', 'Portal Games', 'Regatul Jocurilor', 'Super Meeple', 'Tower Tactic Games', 'White Goblin Games', 'テンデイズゲームズ(TendaysGames)']","['Animals', 'Economic', 'Environmental']","['Components: Hexagonal Tiles', 'Digital Implementations: Board Game Arena', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Game: Ark Nova', 'Players: Games with Solitaire Rules', 'Theme: Ecology', 'Theme: Science', 'Theme: Zoos, Aquaria, Safari Parks']","['End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Increase Value of Unchosen Resources', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Tile Placement', 'Variable Player Powers', 'Variable Set-up']",,,,,2021-10-23,4,2022-09-03,4548,2021-10-23,,,,,,,,,,,,,,,,,4,2022-07-02,980,2021-11-27,,,,,,,,,https://boardgamegeek.com/boardgame/342942
233078,Twilight Imperium: Fourth Edition,"['Dane Beltrami', 'Corey Konieczka', 'Christian T. Petersen']",['Scott Schomburg'],2017,3,6,14,480,240,480,"['Fantasy Flight Games', 'ADC Blackfire Entertainment', 'Arclight Games', 'Asterion Press', 'Edge Entertainment', 'Galakta', 'Galápagos Jogos', 'Hobby World', 'Playfun Games', 'sternenschimmermeer']","['Civilization', 'Economic', 'Exploration', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame']","['Components: Hexagonal Tiles', 'Components: Map (Interplanetary or Interstellar scale)', 'Components: Miniatures', 'Game: Twilight Imperium', 'Mechanism: 4X', 'Misc: Made by Panda']","['Action Drafting', 'Area-Impulse', 'Dice Rolling', 'Follow', 'Grid Movement', 'Hexagon Grid', 'Increase Value of Unchosen Resources', 'King of the Hill', 'Modular Board', 'Race', 'Tech Trees / Tech Tracks', 'Trading', 'Variable Phase Order', 'Variable Player Powers', 'Variable Set-up', 'Voting']",,,,,2018-10-06,5,2020-11-14,20,2018-10-06,,,,,,,,,,,,,,,,,4,2020-11-14,11,2018-10-06,3,2020-11-14,4,2021-02-27,,,,,https://boardgamegeek.com/boardgame/233078
167791,Terraforming Mars,['Jacob Fryxelius'],"['Isaac Fryxelius', 'Daniel Fryxelius']",2016,1,5,12,120,120,120,"['FryxGames', 'Arclight Games', 'Brädspel.se', 'Fantasmagoria', 'Ghenos Games', 'Green Elephant Games', 'Intrafin Games', 'Kaissa Chess & Games', 'Kilogames', 'Korea Boardgames Co., Ltd.', 'Lautapelit.fi', 'Lavka Games', 'Lex Games', 'Maldito Games', 'MeepleBR', 'MINDOK', 'MIPL', 'MYBG Co., Ltd.', 'NeoTroy Games', 'Rebel Sp. z o.o.', 'Reflexshop', 'Schwerkraft-Verlag', 'Siam Board Games', 'Stronghold Games', 'SuperHeated Neurons', ""Surfin' Meeple China""]","['Economic', 'Environmental', 'Industry / Manufacturing', 'Science Fiction', 'Space Exploration', 'Territory Building']","['Category: Dized Tutorial', 'Components: Map (Global Scale)', 'Components: Multi-Use Cards', 'Digital Implementations: Google Play', 'Digital Implementations: Steam', 'Game: Terraforming Mars', 'Mechanism: Tableau Building', 'Occupation: Engineer', 'Players: Games with Solitaire Rules', 'Setting: Future Timeline (Fryxgames)', ""Space: Earth's Solar System"", 'Space: Jupiter', 'Space: Mars', 'Theme: Science']","['Closed Drafting', 'Contracts', 'Enclosure', 'End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Take That', 'Tech Trees / Tech Tracks', 'Tile Placement', 'Turn Order: Progressive', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",,,,,2018-10-06,3,2019-08-10,6,2022-09-03,,,,,,,,,,,,,,,,,4,2018-10-06,7,2022-06-04,,,,,,,,,https://boardgamegeek.com/boardgame/167791
291457,Gloomhaven: Jaws of the Lion,['Isaac Childres'],"['Francesca Baerald', 'David Demaret', 'Alexandr Elichev']",2020,1,4,14,120,30,120,"['Cephalofair Games', 'Albi', 'Albi Polska', 'Arclight Games', 'Feuerland Spiele', 'Galápagos Jogos', 'Gém Klub Kft.', 'Hobby World', 'Korea Boardgames Co., Ltd.', 'Lord of Boards', 'Meanbook Games', 'Siam Board Games']","['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Category: Dungeon Crawler', 'Components: Book as Board', 'Components: Miniatures', 'Components: Multi-Use Cards', 'Components: Standees', 'Digital Implementations: Steam', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Game: Gloomhaven', 'Mechanism: Campaign Games', 'Mechanism: Legacy', 'Misc: Forteller Audio Narration', 'Misc: Limited Replayability', 'Misc: Watch It Played How To Videos', 'Players: Games with Solitaire Rules']","['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers']",,,,,2020-06-27,4,2022-04-02,2247,2020-06-27,,,,,,,,,,,,,,,,,5,2021-04-10,1019,2020-06-27,3,2021-02-27,17,2020-09-05,,,,,https://boardgamegeek.com/boardgame/291457
316554,Dune: Imperium,['Paul Dennen'],"['Clay Brooks', 'Brett Nienburg', 'Raul Ramos', 'Nate Storm']",2020,1,4,14,120,60,120,"['Dire Wolf', 'Arclight Games', 'Galápagos Jogos', 'Geekach Games', 'Lavka Games', 'Lucky Duck Games', 'Reflexshop', 'REXhry', 'sternenschimmermeer', 'YingDi (旅法师营地)']","['Movies / TV / Radio theme', 'Novel-based', 'Political', 'Science Fiction']","['Books: Dune', 'Game: Dune: Imperium', 'Misc: LongPack Games', 'Misc: Watch It Played How To Videos', 'Players: Games with Solitaire Rules']","['Card Play Conflict Resolution', 'Deck, Bag, and Pool Building', 'Delayed Purchase', 'Force Commitment', 'Increase Value of Unchosen Resources', 'Multi-Use Cards', 'Open Drafting', 'Solo / Solitaire Game', 'Tags', 'Take That', 'Turn Order: Progressive', 'Variable Player Powers', 'Worker Placement']",,,,,2020-12-19,8,2023-06-03,2908,2020-12-19,,,,,,,,,,,,,,,,,7,2023-07-08,1188,2020-12-19,8,2022-01-29,467,2020-12-19,,,,,https://boardgamegeek.com/boardgame/316554
115746,War of the Ring: Second Edition,"['Roberto Di Meglio', 'Marco Maggi', 'Francesco Nepitello']","['John Howe', 'Fabio Maiorana']",2011,2,4,13,180,150,180,"['Ares Games', 'Angry Lion Games', 'Devir', 'GaGa Games', 'Galakta', 'Geekach Games', 'Heidelberger Spieleverlag', 'Nuts! Publishing', 'Planplay', 'Red Glove', 'REXhry', 'Schwerkraft-Verlag', 'Sophisticated Games', 'Zhiyanjia']","['Adventure', 'Fantasy', 'Fighting', 'Novel-based', 'Territory Building', 'Wargame']","['Authors: J.R.R. Tolkien', 'Components: Map (Continental / National scale)', 'Components: Miniatures', 'Creatures: Monsters', 'Series: War of the Ring (Nexus/Ares Games)']","['Action Drafting', 'Area Majority / Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Dice Rolling', 'Events', 'Hand Management', 'Movement Points', 'Simulation', 'Team-Based Game', 'Variable Set-up']",,,,,2020-04-11,8,2023-02-25,13,2021-03-13,,,,,,,,,,,,,,,,,,,,,4,2020-04-11,6,2020-11-14,1,2021-10-09,2,2020-05-30,https://boardgamegeek.com/boardgame/115746
187645,Star Wars: Rebellion,['Corey Konieczka'],"['Matt Allsopp', 'David Ardila', 'Balaskas', 'Tiziano Baracchi', 'Ryan Barger', 'Jorge Barrero', 'Cassandre Bolan', 'Jon Bosco', 'Matt Bradbury', 'Adam Burn', 'Alexandre Dainche', 'Christina Davis', 'Anthony Devine', 'Allen Douglas', 'Jose Mikhail Elloso', 'Tony Foti', 'Michele Frigo', 'Mariusz Gandzel', 'Zach Graves', 'Richard Hanuschek', 'Andrew Johanson', 'Jeff Lee Johnson', 'Jason Juta', 'Adam Lane', 'Ignacio Bazán Lazcano', 'Ralph McQuarrie', 'Mark Molnar', 'Jake Murray', 'Ameen Naksewee', 'David Auden Nash', 'Mike Nash', 'Maciej Rebisz', 'Alexandru Sabo', 'Tony Shasteen', 'Stephen Somers', 'Matthew Starbuck', 'Nicholas Stohlman', 'Angela Sung', 'Darren Tan', 'Ryan Valle', 'Jose Vega', 'VIKO', 'Magali Villeneuve', 'Jacob Walker', 'Ben Zweifel']",2016,2,4,14,240,180,240,"['Fantasy Flight Games', 'ADC Blackfire Entertainment', 'Asterion Press', 'Delta Vision Publishing', 'Edge Entertainment', 'Galakta', 'Galápagos Jogos', 'Heidelberger Spieleverlag', 'Hobby World', 'Korea Boardgames Co., Ltd.']","['Civil War', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Space Exploration', 'Wargame']","['Category: Two Player Fighting Games', 'Components: Map (Interplanetary or Interstellar scale)', 'Components: Miniatures', 'Components: Standees', 'Movies: Star Wars']","['Area Majority / Influence', 'Area Movement', 'Area-Impulse', 'Card Play Conflict Resolution', 'Contracts', 'Delayed Purchase', 'Dice Rolling', 'Die Icon Resolution', 'Events', 'Hand Management', 'Hidden Movement', 'Income', 'Once-Per-Game Abilities', 'Tags', 'Take That', 'Team-Based Game', 'Variable Player Powers', 'Variable Set-up', 'Worker Placement, Different Worker Types']",,,,,2018-10-06,6,2018-10-06,10,2023-05-29,,,,,,,,,,,,,,,,,6,2018-10-06,8,2019-08-17,3,2018-10-06,6,2022-02-05,,,,,https://boardgamegeek.com/boardgame/187645
